Economic,Environment,Foreign Policy,Immigration,Military,Safety,Social Programs,Social & Cultural,Governance
cost of prescription drugs,Marcher Walker Pilgrim,TariffWarsAreForLosers,,,gun violence,paid leave,equal rights amendment,contributed to our campaign
costs,methane,terror,,,gun violence epidemic,paid paternal leave,equal rights for women,control of the house
Culinary Workers Union,national parks,terror attacks,,,guns,paidleave,equality act,corporate PACs
Culinary Workers Union Local 226's,natural disaster,terrorism,,,harassment,Pell Grants,Equality California,corroded our democracy
cyber-infrastructure,natural disasters,terrorist,,,high-capacity magazines,PeopleFirstEducation,equality for all,courts
debt,natural resources,terrorist attack,,,HIV/AIDS awareness,pre-existing condition,ERA,dark money
debt cancellation,natural treasures,terrorists,,,human trafficking,pre-existing conditions,ethnicity,deal from congress
democratic socialism,negative emission,TradeWar,,,incarcerate,Pre-K,Fair Pay Act,debate
deregulation,negative emission technologies,transnational gangs,,,incarcerated,pre-kindergarten,families of color,debate stage
divest,negative emissions,two state solution,,,incarceration,project angel food,Father's day,debates
dividend,net zero,US Intervention,,,jail,public college,female freedom,defeat Donald Trump
Dow,net zero carbon,USAID,,,jail time,public colleges,Fiesta,defeat Trump
Dow Jones,net-zero,USMCA,,,jailhouse,public education,first American woman,defeating Donald Trump
drug companies,net-zero emissions,Venezeula,,,justice reform,public option health insurance,first female,delegate
drug company,nuclear catastrophe,Venezuela,,,justice system,public school,first woman,DemDebate
drug prices,oceans,Vietnam,,,law enforcement,public schools,Frederick Douglass,democracy reform plan
economic,oil,Vladimir Putin,,,Layleen Polanco,public technical schools,gay,Democratic candidates
economics,oil & gas industry,war,,,lead exposure,reproductive,gender,democratic debate
economies,oil and chemical,war with Iran,,,lead levels,reproductive rights,gender equality,Democratic field
economist,oil and gas,war zones,,,lead pipes,Roe,gender identity,Democratic House Members
economy,oil companies,Yakalawng,,,legalize marijuana,school loans,genocidal,democratic party
EITC,oil drilling,Yemen,,,legalized marijuana,school meals,genocide,Democratic Party Convention
employed,oil lobbyist,,,,legalizeit,schools,happy pride,Democratic party nominee
employee,oil spill,,,,liability insurance,single-payer,Harvey Milk,Democratic Party of Wisconsin
employees,OurClimateMoment,,,,longer sentences,single-payer system,hate,democratic party state convention
employer,OurClimateMovement,,,,magazine limits,skills training,hate crime,democratic presidential nomination
entrepreneur,Paris Agreement,,,,mandatory minimums,SNAP benefits,hate speech,democratic primary
Entrepreneurs,Paris Climate Accord,,,,March for our Lives,social program,HBCUs,Dept. of Children and Youth
equal opportunity,Paris Climate Agreement,,,,marching for our lives,social security,Heritage Month,DNC
equal pay,People & Planet First Plan,,,,marijuana conviction,Social Services,hijab,DOJ
Equifax breach,PFAS chemicals,,,,Marijuana Justice Act,StopBullying,Hispanic,donation to our campaign
export,pipeline,,,,marijuana laws,studebt debt,homophobia,donor
exports,pipelines,,,,marijuana legalization,student loan,homosexuality,donor goal
Exxon,planet,,,,Marjory Stoneman Douglas,student loan debt,human rights,donors
fair pay,planetary,,,,mass incarceration,student loans,Hyde Amendment,drain the swamp
farmer,pollinators,,,,mass shooting,technical schools,Indian Independence Movement,draw districts
farmers,pollute,,,,MSDStrong,The Freedom Dividend,inequality,early voting
federal money,polluted,,,,murder,Title X,International women's day,electability
Federal Reserve,polluters,,,,National Rifle Association,tuition,InternationalWomensDay,election cycle
federal subsidies,pollution,,,,Next Step Act,tuition-free,internment camps,Election Day
federal workers,preserve,,,,non-violent offense,UBI,Irish traditions,election integrity
FFA,preserve these lands,,,,NRA,uninsured,islamophobia,election security
Fight for 15 movement,public lands,,,,officer,universal basic income,Jew,election system
FightFor15,renewable energy,,,,Officer Pantaleo,Universal Child Care,Jewish,election time
financial,reservation,,,,opioid epidemic,universal free college,Jim Crow,electoral college
financial corporation,sandbags,,,,opioids,universal healthcare,Juneteenth,emergency delcaration
financial crash,sea levels,,,,Parkland,vocational schools,justice and equality,endorsement
fiscal,solar and wind,,,,Parkland shooting,Wade,Latino,Equity Alliance
fiscally,storm,,,,pestilence,welfare,Latinos,executive action
food insecurity,sustainability,,,,police,women in STEM,lesbian,executive actions
form a union,sustainable,,,,police officer,paid family leave,LGBT,Executive Order
forming a union,sustainable energy,,,,policing,paid more,LGBT rights,exploratory committee
Fortune 500,temperature,,,,possession conviction,medical leave,LGBTQ,FakeTrumpEmergency
free market system,tornadoes,,,,pretrial system,Chair of the Education Committee,LGBTQ community,FCC
Friends of Coal,warmest year,,,,prison,Education Committee,LGBTQ equity,FEC
FTC,water intrusion,,,,prisons,,LGBTQ. non-discrimination,FEC deadline
full-time,WaterisLife,,,,prisons for profit,,LGBTQ+,federal representation
gas price,weather,,,,prohibition of marijuana,,LGBTQ+ community,fifteenth amendment
GDP,wildfire,,,,prosecute,,Lilly Ledbetter,filibuster
General Motors,wind and solar farms,,,,prosecution,,lynching,filing deadline
giant corporations,wind power,,,,rape,,male privilege,fillibuster
give them a raise,world water day,,,,restorative justice,,mandela,First Amendment
GM,Yosemite,,,,risk,,marginalized,First District Court of Appeals
good-paying,Greta ,,,,Roundup,,marriage equality,Food and Drug Administration
Google,Thunberg,,,,safe,,marry,free speech
greed,,,,,safer,,marry whom you choose,fundraising
Heartland Fair Deal,,,,,safety,,Martin Luther King,fundraising deadline
high cost of prescription drugs,,,,,safety features,,Martin Luther King Jr.,fundraising quarter
high-income,,,,,Sandy Hook,,Maternal Care act,general election
higher pay,,,,,secure,,maternal mortality,gerrymandered
hirings,,,,,sentencing,,minority,GOP
home ownership rates,,,,,sex trafficking,,minority-serving,govern-by-fear
income,,,,,sexual & domestic violence,,Mississippi Freedom Riders,government closed
income inequality,,,,,sexual abuse,,Montgomery,government funding
incomes,,,,,sexual assault,,more women in politics,government shutdown
industries,,,,,sexual harassment,,Mother's Day,government spending
inflation,,,,,shooting,,MothersDay,grassroots
infrastructure,,,,,shootings,,Muslim americans,grassroots campaign
interest rates,,,,,shot,,NAACP,grassroots donations
invest,,,,,SOS Recovery Community Organization,,National Action Network Conference,grassroots donor
investing,,,,,suicides,,National Puerto Rican Day,grassroots movement
investment,,,,,The Pulse Nightclub,,National Urban League,grassroots supporters
investor,,,,,trafficking,,Native American,grassroots-funded campaign
job,,,,,Trafficking in Persons,,Native American ancestry,Greater Nashua Young Democrats
job creation,,,,,victim compensation fund,,Native American Justice,H.R. 1
jobs,,,,,war on drugs,,Native Americans,hack our elections
Joiners of America Local 279,,,,,water crisis,,non-discrimination ordinance,hearings
labor,,,,,weapons manufacturer,,of color,honest elections
Labor Department,,,,,weapons manufacturers,,opportunities for women,House Districts
labor law,,,,,wrongfully convicted,,oppressor,House Judiciary Committee
labor market,,,,,parental leave,,Pacific Islander,Housing & Urban Development Dept
laborday,,,,,,,paid less,hyperpartisan
LAX,,,,,,,Passover,impeach
lenders,,,,,,,people of color,impeachment
life insurance,,,,,,,Planned Parenthood,impeachment hearings
LIFT Act,,,,,,,prayer,integrity of our elections
living wage,,,,,,,pregnancy,intelligence agencies
loans,,,,,,,pregnant,interior department
Lordstown,,,,,,,prejudice,Iowa Democratic Party
low-income,,,,,,,pride flag,Iowa Senate
lower prices,,,,,,,Pride Parade,judges
lower-income,,,,,,,pro-choice,judiciary
lowering the cost,,,,,,,race matters,judiciary committee
Machinists Union,,,,,,,races,justices
make ends meet,,,,,,,racial,Kirstjen Nielsen
manufacture,,,,,,,Racial Equality,Latino vote
manufacturers,,,,,,,racial identity,lawmakers
manufacturing,,,,,,,racial justice,leave office
manufacturing jobs,,,,,,,Racism,legislation
market,,,,,,,racist,legislators
markets,,,,,,,religion,lifetime appontments
materialism,,,,,,,religious,lobbyist influence
Mattel,,,,,,,reparations,Lowcountry Students for Political Action
maximize their profits,,,,,,,reparations for slavery,make a contribution
medical bills,,,,,,,representation and equality,make D.C. a state
medications unnafordable,,,,,,,reproductive health,megadonors
middle class,,,,,,,reproductive health care,Mitch McConnell
miners,,,,,,,right of woman,money in politics
minimum wage,,,,,,,Rock Hill,money out of politics
minimum-wage,,,,,,,Roe v. Wade,Mueller
monoploy,,,,,,,roevwade,Mueller report
monopoly,,,,,,,Rosa Parks,Muller investigation
mortgage,,,,,,,same-sex,National Emergency
mortgage debt,,,,,,,segregate,national emergency declaration
mortgages,,,,,,,segregated,national popular vote
nation's debt,,,,,,,segregation,national press secretary
national debt,,,,,,,segregationists,New Democrat Coalition
negotiate,,,,,,,Selma,New Hampshire primary
net worth,,,,,,,sexism,nomination
oligarch,,,,,,,sexist,nomination for president
oligarchy,,,,,,,sexual orientation,oath of office
open market,,,,,,,She the People,obama administration
operating trains,,,,,,,slave,Obama-Biden Administration
overtime pay,,,,,,,slavery,obstructed justice
pad their pockets,,,,,,,social justice,obstruction
paid,,,,,,,Spanish,obstructionism
paid family and medical leave,,,,,,,St. Paddy's day,one-term president
parents income,,,,,,,St. Patrick's Day,Open Our Democracy Act
pay gap,,,,,,,Stonewall,PAC
pay raises,,,,,,,straight,PAC money
pay teachers,,,,,,,suppression,PACs
pay the bills,,,,,,,supremacist,paper ballots
paycheck,,,,,,,systemic barriers,participation in elections
paychecks,,,,,,,tarana burke,partisan
payday,,,,,,,Title IX,partisan divide
paying teachers,,,,,,,trans,partisanship
payment,,,,,,,transgender,party's nomination
pension,,,,,,,transphobia,partyÃ¢â‚¬â„¢s nominee
pensions,,,,,,,transphobia,peaceful demonstrations
Pharma,,,,,,,tras community,Pentagon
Pharma companies,,,,,,,Violence against women,political interference
pharmaceutical,,,,,,,Violence Against Women Act,political process
poor,,,,,,,wage gap,political revolution
potholes,,,,,,,white,political stunts
poverty,,,,,,,white nationalism,politically disengaged
pre-recession,,,,,,,white nationalist,politically engaged
prescription costs,,,,,,,white privilege,poll
price fixing,,,,,,,woman and her doctor,poll numbers
price gouging,,,,,,,woman's,polling
price tag,,,,,,,woman's right,polls
pricing,,,,,,,womanÃ¢â‚¬â„¢s right,presidential debates
profit,,,,,,,women,presidential exploratory committee
Profits,,,,,,,women and their bodies,presidential field
protecting consumers,,,,,,,women as equal,presidential nomination
put food on the table,,,,,,,women decide,promote a bill
raise incomes,,,,,,,women of color,protect our elections
real estate,,,,,,,women's,protect US elections
rebuilding our infrastructure,,,,,,,women's backs,purple state
recession,,,,,,,women's bodies,raised the most money
reliable bridges,,,,,,,women's consitutional rights,rallies
rent costs,,,,,,,women's day,rally
Republican tax cuts,,,,,,,women's equal rights,ratified
retiree,,,,,,,women's human rights,ratify
retirees,,,,,,,women's march,re-elect
retirement,,,,,,,women's rights,re-electing
rich are getting much richer,,,,,,,women's,re-open the government
richest americans,,,,,,,women's history,red states
rising cost,,,,,,,women's voices,redistricting
road,,,,,,,WomensHistoryMonth,reelected
road bond,,,,,,,worship,reelection
roads,,,,,,,xenophobia,referendum
robot,,,,,,,women entrepreneurs,registered Republican
robots,,,,,,,women's health,reopen the federal government
rurual economies,,,,,,,Hidden Figures,reopen the government
S&P,,,,,,,,reopens our federal government
savings account,,,,,,,,representative government
Sears,,,,,,,,Research Expansion and Respect States
SEIU,,,,,,,,right to vote
shareholders,,,,,,,,Robert Mueller
Shell,,,,,,,,Robert Mueller's
siphon,,,,,,,,running for congress
small business,,,,,,,,running for office
small businesses,,,,,,,,running for president
socialism,,,,,,,,same-day
socialist,,,,,,,,San Francisco District Attorney
socioeconomic status,,,,,,,,Save the Internet Act of 2019
Southwest,,,,,,,,SCOTUS
spending,,,,,,,,second amendment
starting businesses,,,,,,,,secretary acosta
startup,,,,,,,,Secretary of State
stock market,,,,,,,,Secure Elections Act
subsidies,,,,,,,,Securing America's Elections Act
subsidizing,,,,,,,,senate floor
tax,,,,,,,,Senate Majority Leader
tax breaks,,,,,,,,separation of powers
tax code,,,,,,,,shut down
tax cuts,,,,,,,,shutdown
tax returns,,,,,,,,shutdown the government
tax revenues,,,,,,,,Special Counsel
tax scam,,,,,,,,special counsel Mueller
taxes,,,,,,,,Special Counsel Mueller's
taxpayer,,,,,,,,special interests
taxpayers,,,,,,,,stacking the courts
teacher pay,,,,,,,,State of the Union
teachers a raise,,,,,,,,Statehood
top 1%,,,,,,,,structural change
trade deficit,,,,,,,,structural reform
trade policies,,,,,,,,submitting a bill
trade services,,,,,,,,Super PAC
trade union,,,,,,,,support our campaign
Treasury Bond,,,,,,,,supporting this bill
UFCW,,,,,,,,supreme court
Ultra-millionaire tax,,,,,,,,Surgeon General
ultra-rich,,,,,,,,swamp
underemployment,,,,,,,,swamp politics
unemployment,,,,,,,,sworn in
union contractors,,,,,,,,term limit
union members,,,,,,,,testify
unionize,,,,,,,,The Kent Street Coalition
unions,,,,,,,,threatening our democracy
United Brotherhood of Carpenters,,,,,,,,town hall
United Teachers Los Angeles,,,,,,,,town halls
US economy,,,,,,,,town meeting
wage,,,,,,,,townhall
Wage Bond,,,,,,,,Trump Administration
wages,,,,,,,,Trump agenda
Wall Street,,,,,,,,Trump cabinet
Wayfair,,,,,,,,U.S. Attorney General
wealth,,,,,,,,unconstitutional
wealth gap,,,,,,,,United States Department of Peace
wealth inequality,,,,,,,,universail mail voting
well-deserved raise,,,,,,,,veto
well-paid,,,,,,,,vote him out
worker,,,,,,,,voter
worker's rights,,,,,,,,voter fraud
workers,,,,,,,,voter ID
workers' rights,,,,,,,,voter ID laws
workforce,,,,,,,,voter participation
working americans,,,,,,,,voter registration
working class,,,,,,,,voter rights
working condiitons,,,,,,,,voter suppression
working conditions,,,,,,,,voter turnout
working families,,,,,,,,voters
working family,,,,,,,,voting
working men and women,,,,,,,,voting machines
working mother,,,,,,,,voting rights
working people,,,,,,,,Voting Rights Act
working poeple,,,,,,,,voting rights act of 1965
working-class,,,,,,,,voting rolls
workingfamilies,,,,,,,,white house council
Workplace Democracy Plan,,,,,,,,write laws
workplace protections,,,,,,,,
workweek,,,,,,,,
Young Professionals,,,,,,,,
finance committee,,,,,,,,
