Gold Label,words,m_label
health,,no topic
"economic,governance","usmca,workers","economic,foreign policy"
no topic,,no topic
no topic,,no topic
no topic,,no topic
"education,economic",teachers,education
immigration,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs",debt,social programs
"education,economic","school,jobs,wealth,education","economic,education"
no topic,,no topic
"health,social programs,economic","economy,housing,health care,child care,costs,health,wages","economic,health,social programs"
governance,,no topic
environmental,"climate,climate crisis",environmental
"education,social programs","public schools,public education,education",education
"social cultural,safety","police,police violence,mass incarceration,racial,incarceration,racial profiling","safety,social cultural"
"covid,governance,health,foreign policy",europe,foreign policy
no topic,,no topic
no topic,,no topic
no topic,,no topic
"environmental,economic",economy,economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health",,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
foreign policy,,no topic
social cultural,"african,black,african american",social cultural
no topic,,no topic
"education,economic","school,economy","economic,education"
"economic,environmental","climate crisis,economy,emissions,climate change,jobs,carbon,carbon emissions,climate","economic,environmental"
"covid,health,economic",economic,economic
no topic,,no topic
governance,impeachment,governance
safety,,no topic
foreign policy,,no topic
"education,environmental,health,social cultural,social programs,economic","wealthy,climate change,corruption,student,student debt,debt,health care,climate,student debt crisis,health,guaranteeing health","economic,education,environmental,governance,health,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,federal,governance
governance,"impeachment,mueller report",governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,governance,social programs,safety",incarcerated,safety
environmental,"planet,climate",environmental
economic,,no topic
governance,,no topic
governance,,no topic
"governance,social cultural",right to vote,governance
"covid,health,foreign policy","world health organization,coronavirus,health","covid,health"
governance,congress,governance
safety,prison,safety
no topic,,no topic
"governance,economic",economy,economic
no topic,,no topic
no topic,,no topic
safety,"gun violence,police,gun,police violence",safety
"immigration,governance","circuit court,border,fifth circuit","governance,immigration"
no topic,,no topic
no topic,health,health
"safety,economic","criminal justice,jobs,unemployment,criminal,justice reform","economic,safety"
no topic,,no topic
"education,social programs,economic","debt,per student,school,student","education,social programs"
no topic,,no topic
economic,,no topic
"health,social programs","medicare,medicare for all,doctor",social programs
no topic,,no topic
no topic,,no topic
governance,"fancy fundraisers,federal lobbyists,lobbyists,federal,pacs",governance
no topic,,no topic
"covid,health",coronavirus,covid
"education,environmental,health,social cultural,social programs","student loan debt,discrimination,climate crisis,student,social security,debt,health care,climate,health,loan debt,student loan","education,environmental,health,social cultural,social programs"
"health,social programs","healthcare,illnesses","health,social programs"
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,,no topic
no topic,school,education
no topic,,no topic
safety,officers,safety
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,"economy,workers",economic
foreign policy,endless war,foreign policy
health,,no topic
"economic,education,health,social programs","guarantee health,living wage,decent housing,housing,education,health care,health","economic,education,health,social programs"
governance,democracy,governance
"covid,health",pandemic,covid
social cultural,,no topic
"economic,immigration,military,safety,governance","taxes,vets,congress,impeachment,borders,military","economic,governance,immigration,military"
no topic,,no topic
"health,social programs","medicare,aca,affordable care act,affordable",social programs
governance,"impeachment,judiciary",governance
social cultural,latinos,social cultural
no topic,,no topic
"economic,environmental,foreign policy",economically,economic
social cultural,latinos,social cultural
no topic,,no topic
"covid,health",ventilators,covid
economic,"unemployment,jobs created,million jobs,jobs",economic
no topic,race,social cultural
no topic,,no topic
governance,impeachment,governance
safety,drugs,safety
no topic,,no topic
social cultural,,no topic
"health,safety,military","drugs,opioids,marijuana,opioid",safety
no topic,,no topic
no topic,,no topic
"covid,health,immigration","coronavirus,border","covid,immigration"
environmental,federal,governance
"social cultural,safety","latino,racist,black,marijuana","safety,social cultural"
"covid,health,economic","workers,coronavirus,coronavirus pandemic,pandemic","covid,economic"
social cultural,"black lives matter,lives matter,black lives,black",social cultural
governance,impeachment,governance
"health,military,safety,social programs","va,health,health care","health,military,social programs"
immigration,"asylum seekers,asylum",immigration
no topic,,no topic
no topic,,no topic
economic,"american workers,workers",economic
foreign policy,syria,foreign policy
governance,,no topic
economic,,no topic
immigration,daca,immigration
immigration,immigration,immigration
no topic,,no topic
no topic,,no topic
no topic,,no topic
"social cultural,foreign policy",israel,foreign policy
"economic,social cultural","unemployment,african,african american,youth unemployment","economic,social cultural"
no topic,,no topic
no topic,,no topic
no topic,race,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
social programs,,no topic
no topic,,no topic
no topic,,no topic
economic,"workers,wages",economic
social cultural,,no topic
no topic,,no topic
economic,"tax,income",economic
"health,social programs","medicare,health insurance,health,medicare for all","health,social programs"
no topic,,no topic
no topic,,no topic
"military,foreign policy",service members,military
no topic,race,social cultural
safety,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","affordable care act,health,affordable,health care","health,social programs"
environmental,"climate crisis,green new deal,green new,new deal,climate",environmental
"education,social programs",,no topic
governance,"voting rights act,voting rights",governance
no topic,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
no topic,assault,safety
no topic,,no topic
no topic,,no topic
social cultural,latinos,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,economic,economic
economic,,no topic
"safety,environmental","climate,climate change,gun","environmental,safety"
governance,,no topic
economic,"stock,market,economy",economic
governance,,no topic
no topic,,no topic
"foreign policy,social cultural,economic","nicaragua,jobs,venezuela,latino,unemployment,latinos,income","economic,foreign policy,social cultural"
governance,"impeachment,mueller report",governance
health,congress,governance
environmental,"fuel industry,climate crisis,fossil,green new deal,fuel,fossil fuel,green new,new deal,climate",environmental
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,environmental","climate,economy,climate crisis","economic,environmental"
no topic,,no topic
"foreign policy,governance",,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,"criminal,committing crimes",safety
foreign policy,,no topic
environmental,"new deal,green new deal,green new,planet",environmental
no topic,,no topic
economic,"economic,affordable housing,tax,housing,affordable","economic,social programs"
"health,social programs","planet,health,health care","environmental,health,social programs"
economic,race,social cultural
economic,"workers,housing","economic,social programs"
economic,,no topic
foreign policy,"foreign,foreign policy",foreign policy
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,economy,economic
no topic,,no topic
economic,,no topic
economic,,no topic
safety,"supreme court,held hostage,corruption,gun violence,gun","foreign policy,governance,safety"
"social cultural,safety","police officers,police,police shootings,officers,shootings,black","safety,social cultural"
no topic,,no topic
no topic,,no topic
"safety,environmental","climate,climate change",environmental
safety,"gun violence,gun",safety
economic,economy,economic
governance,impeachment,governance
no topic,,no topic
safety,impeachment,governance
no topic,,no topic
governance,,no topic
"education,safety","gun violence,school,gun","education,safety"
immigration,immigrants,immigration
no topic,,no topic
no topic,,no topic
no topic,,no topic
"education,social programs,social cultural",hbcus,"education,social cultural,social programs"
foreign policy,"europeans,germany",foreign policy
economic,middle class,economic
no topic,,no topic
economic,"economy,jobs",economic
governance,barr,governance
no topic,,no topic
"health,social programs","health insurance,deductibles,medicare,doctor,deductible,medicare for all,premiums,health","health,social programs"
"social cultural,governance",color,social cultural
no topic,,no topic
no topic,,no topic
social cultural,,no topic
environmental,"climate,climate change",environmental
no topic,,no topic
"education,economic","wages,workers",economic
"economic,health,safety,social programs,governance","assault,voting rights act,voting rights,obamacare,assault weapons","governance,health,safety,social programs"
"military,foreign policy",,no topic
no topic,race,social cultural
no topic,,no topic
no topic,race,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,congress,governance
governance,impeachment,governance
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
immigration,visa,immigration
no topic,,no topic
"health,social programs","health,health care","health,social programs"
no topic,,no topic
"covid,health,social programs","diagnosed,coronavirus,health,health care","covid,health,social programs"
environmental,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,marijuana,safety
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
safety,"mass shooting,gun violence,gun",safety
foreign policy,"foreign,united nations",foreign policy
economic,,no topic
no topic,race,social cultural
"foreign policy,economic","usmca,economy,trade deal","economic,foreign policy"
governance,corruption,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
social cultural,color,social cultural
social cultural,pregnancy,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,federal,governance
"military,social cultural","americans serving,transgender,military","military,social cultural"
no topic,,no topic
"covid,health",coronavirus,covid
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,"the nra,nra",safety
governance,,no topic
no topic,,no topic
economic,workers,economic
"health,social programs","affordable care act,affordable",social programs
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health",covid19,covid
economic,economy,economic
"education,social cultural",teachers,education
no topic,,no topic
"covid,health",,no topic
no topic,,no topic
"health,social cultural",reproductive justice,health
no topic,,no topic
"health,social programs","health care system,health,health care","health,social programs"
social cultural,democracy,governance
no topic,"african,african american",social cultural
no topic,,no topic
military,,no topic
no topic,,no topic
governance,"constitution,impeachment,corruption",governance
military,"service members,wars","foreign policy,military"
no topic,supreme court,governance
no topic,,no topic
no topic,,no topic
immigration,"seeking asylum,asylum",immigration
governance,constitution,governance
military,,no topic
no topic,,no topic
no topic,race,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
safety,criminal,safety
no topic,,no topic
"covid,health","distancing,social distancing",covid
no topic,,no topic
no topic,,no topic
"covid,health",pandemic,covid
no topic,,no topic
"safety,environmental","climate,climate crisis",environmental
"economic,military,social programs","federal,workers,social security,federal workers","economic,governance,social programs"
military,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,race,social cultural
governance,impeachment,governance
no topic,,no topic
social programs,,no topic
environmental,,no topic
"education,social programs",school,education
"health,social programs,economic",healthcare,health
governance,"federal,impeachment",governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"safety,environmental",,no topic
"economic,immigration","borders,sanctuary,criminal,aliens","immigration,safety"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
foreign policy,,no topic
environmental,"climate,congress,climate change","environmental,governance"
economic,"jobs,workers",economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
"health,safety",opioids,safety
social cultural,"racism,democracy","governance,social cultural"
no topic,,no topic
safety,"police,police violence",safety
economic,"small business,business",economic
foreign policy,syria,foreign policy
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
governance,barr,governance
governance,impeachment,governance
governance,impeachment,governance
no topic,,no topic
economic,,no topic
governance,corruption,governance
safety,cops,safety
no topic,,no topic
military,"va,every veteran",military
social cultural,latino,social cultural
"covid,health",virus,covid
no topic,,no topic
no topic,,no topic
"health,safety,social programs,environmental","planet,health","environmental,health"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,,no topic
"social programs,economic",housing,social programs
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,,no topic
no topic,,no topic
"military,safety,immigration","vets,border,military","immigration,military"
no topic,race,social cultural
no topic,,no topic
no topic,,no topic
safety,,no topic
"safety,social cultural","sexual,assault","safety,social cultural"
no topic,,no topic
foreign policy,regime,foreign policy
"covid,health,social programs","pandemic,obamacare,health care,reopen,health","covid,health,social programs"
governance,,no topic
no topic,,no topic
no topic,,no topic
environmental,"climate,climate crisis",environmental
no topic,,no topic
no topic,,no topic
"covid,health,economic","virus,workers","covid,economic"
no topic,,no topic
no topic,,no topic
"environmental,military","climate,climate change",environmental
no topic,officers,safety
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health",coronavirus,covid
governance,"congress,impeachment,impeach",governance
no topic,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,"congress,wars","foreign policy,governance"
"foreign policy,governance","foreign,foreign policy",foreign policy
governance,constitution,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs,economic","affordable health,create jobs,jobs,affordable health care,affordable,health care,health","economic,health,social programs"
"economic,environmental,social programs","fuel companies,fossil,planet,fuel,fossil fuel,poorer","environmental,social programs"
governance,criminal,safety
no topic,military,military
no topic,,no topic
economic,"middle class,economy,wealthy",economic
social cultural,racist,social cultural
no topic,,no topic
economic,economic,economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,education,health,safety,social programs","affordable housing,healthcare,housing,affordable,education","education,health,social programs"
no topic,education,education
no topic,,no topic
no topic,,no topic
economic,"workers,economic",economic
no topic,,no topic
no topic,,no topic
"health,social programs","affordable care act,affordable",social programs
governance,,no topic
"economic,social cultural",,no topic
environmental,climate,environmental
no topic,,no topic
economic,"economic,capitalism",economic
no topic,,no topic
no topic,,no topic
environmental,"climate,climate change",environmental
social programs,,no topic
"health,social programs","health,health care","health,social programs"
no topic,,no topic
"safety,social cultural",color,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,"affordable housing,race,housing,affordable","social cultural,social programs"
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","medicare,social security",social programs
environmental,"planet,climate,climate change,race","environmental,social cultural"
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
no topic,corruption,governance
"health,social programs","medicare,medicare for all",social programs
no topic,,no topic
no topic,,no topic
social programs,social security,social programs
economic,economic,economic
social programs,"federal,congress,workers,federal workers","economic,governance"
"economic,environmental","emissions,climate change,climate,combat climate,income","economic,environmental"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,democracy,governance
"foreign policy,military,governance","hearings,impeach,impeach the president,usmca,military","foreign policy,governance,military"
no topic,,no topic
no topic,,no topic
governance,"tax,corruption","economic,governance"
no topic,,no topic
governance,"corruption,criminal","governance,safety"
social programs,social security,social programs
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,economic","health care workers,health,workers,health care","economic,health,social programs"
"education,safety","high school,school,gun violence,gun","education,safety"
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,workers,economic
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
"education,social programs","student loan debt,loans,public college,college,student,debt,cancel student loan debt,loan debt,student loan","education,social programs"
governance,corruption,governance
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","health,health care","health,social programs"
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,embassy,foreign policy
economic,federal,governance
"health,social programs","prescription,medicare,drug prices,prescription drug,medicare for all,insulin","health,social programs"
"immigration,military,safety","2nd amendment,vets,congress,border,military","governance,immigration,military,safety"
"military,safety,immigration","vets,border,military","immigration,military"
no topic,,no topic
no topic,,no topic
environmental,climate,environmental
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,impeachment,governance
"education,health,safety,social cultural,social programs","healthcare,college,public colleges,colleges,tuition,free tuition,universities,loans","education,health,social programs"
"health,military",service members,military
social cultural,federal,governance
no topic,,no topic
"education,economic","teachers,education",education
social cultural,race,social cultural
"education,social programs","testing,right vote","covid,governance"
military,"military families,military",military
no topic,,no topic
environmental,,no topic
no topic,college,education
"governance,safety,immigration","supreme court,daca,criminals","governance,immigration,safety"
economic,workers,economic
no topic,,no topic
governance,impeachment,governance
social programs,social security,social programs
no topic,"african,african american",social cultural
no topic,,no topic
economic,,no topic
no topic,,no topic
"education,social programs","debt,student,student debt","education,social programs"
no topic,impeachment,governance
governance,"constitution,congress,impeachment",governance
no topic,,no topic
no topic,,no topic
"immigration,economic","affordable housing,housing,affordable",social programs
no topic,,no topic
no topic,middle class,economic
no topic,,no topic
health,"health,health care","health,social programs"
no topic,,no topic
"education,safety",,no topic
"education,social programs","student loan debt,loan debt,student,debt,colleges,tuition,universities,student loan","education,social programs"
immigration,,no topic
no topic,,no topic
economic,workers,economic
"health,social programs,economic","health care costs,deductibles,copays,care costs,health care,costs,health","economic,health,social programs"
no topic,,no topic
economic,economy,economic
"education,economic","school,teachers",education
no topic,,no topic
"foreign policy,social cultural","human rights,congress,democracy","foreign policy,governance"
no topic,,no topic
"governance,social cultural","discrimination,african,african american,housing,civil rights act","governance,social cultural,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
immigration,school,education
no topic,,no topic
no topic,,no topic
"economic,military,environmental","climate,climate change,military","environmental,military"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,,no topic
no topic,,no topic
no topic,,no topic
governance,race,social cultural
"environmental,health,safety,social cultural,social programs,immigration","muslim,lgbt,healthcare,climate change,cages,border,nra,climate,discriminating","environmental,health,immigration,safety,social cultural"
safety,,no topic
no topic,democracy,governance
economic,economy,economic
"immigration,military,safety","military,border,vets,second amendment","immigration,military,safety"
"health,social programs",health,health
no topic,,no topic
social cultural,"race,democracy","governance,social cultural"
immigration,immigrants,immigration
"safety,immigration","criminal justice,race,immigration,gun violence,immigrants,criminal,justice reform,gun","immigration,safety,social cultural"
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs,economic","health care system,medicare,medicare for all,health care,costs,health","economic,health,social programs"
no topic,,no topic
no topic,,no topic
"education,economic","economy,jobs,education","economic,education"
social cultural,racist,social cultural
governance,"due process,impeachment",governance
"health,social cultural","color,reproductive justice","health,social cultural"
no topic,,no topic
no topic,,no topic
safety,"the gun,gun violence,gun,gun lobby",safety
"covid,health",masks,covid
"covid,health","coronavirus,health","covid,health"
economic,"trade war,jobs,workers","economic,foreign policy"
no topic,race,social cultural
"health,social cultural,environmental",disabled,social cultural
"health,social programs","universal health,health,universal health care,health care","health,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,"economy,impeach","economic,governance"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"environmental,health,social programs,economic","planet,health,wages,health care","economic,environmental,health,social programs"
social cultural,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
immigration,"immigrants,visa",immigration
economic,workers,economic
"covid,health,economic","economy,coronavirus,health","covid,economic,health"
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,constitution,governance
no topic,,no topic
governance,right to vote,governance
no topic,,no topic
social cultural,"muslim communities,muslims,muslim",social cultural
no topic,,no topic
safety,gun,safety
no topic,democracy,governance
no topic,,no topic
no topic,,no topic
economic,unemployment,economic
no topic,,no topic
"covid,health",,no topic
no topic,,no topic
health,lobbyists,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,race,social cultural
"covid,health,economic",covid19,covid
no topic,,no topic
governance,tax,economic
social cultural,,no topic
no topic,,no topic
social programs,,no topic
no topic,,no topic
no topic,,no topic
economic,"savings,wealth,banks,shareholders",economic
"economic,foreign policy","usmca,trade deal",foreign policy
economic,"tax,wealth,wealth tax",economic
governance,impeachment,governance
"social cultural,governance","judges,courts",governance
no topic,,no topic
no topic,democracy,governance
"governance,safety","the nra,the gun,gun lobby,congress,nra,gun","governance,safety"
no topic,,no topic
safety,"gun violence,gun",safety
social cultural,"color,people of color",social cultural
safety,gun,safety
no topic,,no topic
"health,social programs","prescription,medicare,medicare for all","health,social programs"
social cultural,transgender,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,american leadership,foreign policy
"covid,health,economic",caronavirus,covid
economic,workers,economic
no topic,,no topic
foreign policy,"congress,military","governance,military"
"covid,health,social programs,economic","testing,virus,workers,pandemic","covid,economic"
no topic,,no topic
no topic,,no topic
"health,social programs,economic","health care system,health,economic,health care","economic,health,social programs"
social cultural,,no topic
"health,social programs","medicare,medicare for all",social programs
"health,social programs","health,workers","economic,health"
governance,,no topic
no topic,,no topic
"governance,economic",,no topic
no topic,,no topic
"covid,health","testing,federal,cdc","covid,governance"
no topic,,no topic
governance,congress,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
environmental,carbon,environmental
no topic,healthcare,health
no topic,,no topic
no topic,,no topic
no topic,,no topic
"social cultural,economic","unemployment,african,business,african american","economic,social cultural"
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,environmental","planet,climate,climate change,polluters",environmental
no topic,,no topic
no topic,,no topic
military,"service members,federal","governance,military"
"environmental,health,safety,social programs","healthcare,affordable healthcare,affordable,climate,guns","environmental,health,safety,social programs"
foreign policy,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
"foreign policy,military","syrian people,economy,troops,regime change,regime,syrian","economic,foreign policy,military"
no topic,,no topic
health,"aids,hiv",health
no topic,,no topic
social cultural,,no topic
governance,foreign,foreign policy
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
social cultural,,no topic
safety,"criminals,criminal",safety
no topic,,no topic
social programs,housing,social programs
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,social cultural","color,voting rights,voting rights act,disenfranchised","governance,social cultural"
foreign policy,,no topic
environmental,"planet,economy","economic,environmental"
immigration,daca,immigration
"education,social programs",educational,social programs
"foreign policy,social cultural","foreign,foreign policy,syria",foreign policy
social cultural,,no topic
no topic,,no topic
no topic,,no topic
"health,safety","corruption,opioid","governance,safety"
no topic,,no topic
economic,"economy,wealthy",economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
