Gold Label,words,m_label
safety,"criminal justice system,criminal,criminal justice",safety
no topic,,no topic
environmental,"climate,planet",environmental
"social cultural,safety",,no topic
"safety,social cultural","systemic racism,black,sandra bland,racism,black lives,systemic","safety,social cultural"
social cultural,,no topic
no topic,color,social cultural
no topic,,no topic
"military,safety,economic","military,taxes,vets","economic,military"
"economic,environmental","climate,economy","economic,environmental"
"governance,safety","bill of rights,surveillance,corporations,protect americans","governance,safety"
"economic,social cultural",black,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"education,social programs",student,"education,social programs"
no topic,,no topic
economic,"workers,child care",no topic
no topic,,no topic
health,alzheimer,no topic
"economic,governance",workers,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"education,economic",teachers,education
immigration,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs",debt,social programs
"education,economic","school,green,wealth,education,jobs","economic,education"
no topic,,no topic
"health,social programs,economic","health,health care,costs,economy,wages,child care","economic,health,social programs"
governance,,no topic
environmental,"climate,climate crisis",environmental
"education,social programs","education,public education,public schools",education
"social cultural,safety","mass incarceration,plague,incarceration,police,racial profiling,police violence,racial","safety,social cultural"
"covid,governance,health,foreign policy","europe,china,plague",foreign policy
no topic,,no topic
no topic,,no topic
no topic,,no topic
"environmental,economic",economy,economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health",covid-19,covid
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
foreign policy,corrupt,no topic
social cultural,"african american,black",social cultural
no topic,,no topic
"education,economic","school,economy",economic
"economic,environmental","climate,economy,climate crisis,carbon emissions,jobs,carbon,emissions,climate change","economic,environmental"
"covid,health,economic","economic,covid-19","covid,economic"
no topic,,no topic
governance,impeachment,governance
safety,,no topic
foreign policy,,no topic
"education,environmental,health,social cultural,social programs,economic","guaranteeing health,climate,health,health care,wealthy,student debt,debt,climate change,student","economic,education,environmental,health,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,"impeachment,mueller report",governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,governance,social programs,safety",incarcerated,safety
environmental,"climate,planet",environmental
economic,,no topic
governance,,no topic
governance,,no topic
"governance,social cultural",right to vote,governance
"covid,health,foreign policy","health,china,world health organization,coronavirus","covid,health"
governance,corrupt,no topic
safety,prison,safety
no topic,,no topic
"governance,economic",economy,economic
no topic,,no topic
no topic,,no topic
safety,"gun violence,gun,police violence,police",safety
"immigration,governance","circuit court,border,fifth circuit","governance,immigration"
no topic,,no topic
no topic,health,health
"safety,economic","criminal,criminal justice,unemployment,justice reform,jobs","economic,safety"
no topic,,no topic
"education,social programs,economic","per student,student,debt,school","education,social programs"
no topic,,no topic
economic,,no topic
"health,social programs","doctor,medicare,medicare for all",social programs
no topic,,no topic
no topic,,no topic
governance,"fancy fundraisers,lobbyists,federal lobbyists,pacs",governance
no topic,,no topic
"covid,health",coronavirus,covid
"education,environmental,health,social cultural,social programs","climate,health,health care,climate crisis,social security,debt,discrimination,student","education,environmental,health,social cultural,social programs"
"health,social programs","healthcare,illnesses","health,social programs"
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,,no topic
no topic,school,no topic
no topic,,no topic
safety,officers,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,"corporations,giant corporations,workers,economy",economic
foreign policy,,no topic
health,treatment,no topic
"economic,education,health,social programs","health,health care,living wage,education,guarantee health,decent housing","economic,education,health,social programs"
governance,,no topic
"covid,health",pandemic,covid
social cultural,,no topic
"economic,immigration,military,safety,governance","vets,borders,military,taxes,impeachment","economic,governance,immigration,military"
no topic,,no topic
"health,social programs","medicare,aca",social programs
governance,"impeachment,judiciary",governance
social cultural,latinos,social cultural
no topic,,no topic
"economic,environmental,foreign policy","sustainable,economically",economic
social cultural,latinos,social cultural
no topic,,no topic
"covid,health",ventilators,covid
economic,"million jobs,jobs,unemployment,jobs created",economic
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
safety,drugs,no topic
no topic,,no topic
social cultural,,no topic
"health,safety,military","veterans,drugs,opioids,opioid,marijuana",safety
no topic,,no topic
no topic,,no topic
"covid,health,immigration","border,coronavirus","covid,immigration"
environmental,,no topic
"social cultural,safety","latino,marijuana,racist,black","safety,social cultural"
"covid,health,economic","underinsured,pandemic,workers,coronavirus",covid
social cultural,"black lives,black lives matter,lives matter,black",social cultural
governance,impeachment,governance
"health,military,safety,social programs","veterans,health,mental health,health care","health,social programs"
immigration,"asylum,asylum seekers",immigration
no topic,,no topic
no topic,,no topic
economic,"workers,american workers",economic
foreign policy,"iran,syria",foreign policy
governance,,no topic
economic,,no topic
immigration,daca,no topic
immigration,immigration,immigration
no topic,,no topic
no topic,,no topic
no topic,,no topic
"social cultural,foreign policy","anti-israel,israel",foreign policy
"economic,social cultural","youth unemployment,unemployment,african american",economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social programs,,no topic
no topic,,no topic
no topic,,no topic
economic,"wages,workers",economic
social cultural,,no topic
no topic,,no topic
economic,"income,tax",economic
"health,social programs","medicare,medicare for all,health,health insurance","health,social programs"
no topic,,no topic
no topic,,no topic
"military,foreign policy",,no topic
no topic,,no topic
safety,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","pre-existing,health care,health,pre-existing conditions","health,social programs"
environmental,"green new deal,climate,green new,climate crisis,new deal,green",environmental
"education,social programs",,no topic
governance,"voting rights act,voting rights",no topic
no topic,,no topic
no topic,,no topic
economic,businesses,no topic
no topic,,no topic
no topic,assault,no topic
no topic,,no topic
no topic,,no topic
social cultural,latinos,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,economic,economic
economic,,no topic
"safety,environmental","gun,climate change,climate","environmental,safety"
governance,,no topic
economic,"stock,market,economy",economic
governance,,no topic
no topic,,no topic
"foreign policy,social cultural,economic","venezuela,unemployment,latinos,jobs,latino,china,income,nicaragua","economic,foreign policy,social cultural"
governance,"impeachment,mueller report",governance
health,,no topic
environmental,"climate,green new deal,fossil fuel,fuel industry,green new,fossil,climate crisis,new deal,green,fuel",environmental
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,environmental","climate,climate crisis,economy","economic,environmental"
no topic,,no topic
"foreign policy,governance",russia,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,"criminal,committing crimes",safety
foreign policy,,no topic
environmental,"green new deal,green new,new deal,green,planet",environmental
no topic,,no topic
economic,"economic,tax",economic
"health,social programs","planet,health,health care","environmental,health,social programs"
economic,gender,no topic
economic,"low-wage,workers",economic
economic,,no topic
foreign policy,"foreign policy,foreign",foreign policy
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,economy,economic
no topic,,no topic
economic,,no topic
economic,,no topic
safety,"gun violence,gun",safety
"social cultural,safety","police officers,black,police shootings,police,officers,shootings","safety,social cultural"
no topic,,no topic
no topic,,no topic
"safety,environmental","clean,climate change,climate",environmental
safety,"gun violence,gun",safety
economic,"trickle-down,economy",economic
governance,impeachment,governance
no topic,,no topic
safety,impeachment,governance
no topic,,no topic
governance,,no topic
"education,safety","gun violence,gun,school",safety
immigration,immigrants,immigration
no topic,,no topic
no topic,,no topic
no topic,,no topic
"education,social programs,social cultural",hbcus,"education,social cultural,social programs"
foreign policy,"isis,europeans,germany,turkey",foreign policy
economic,middle class,economic
no topic,,no topic
economic,"jobs,economy",economic
governance,barr,no topic
no topic,,no topic
"health,social programs","premiums,health,deductibles,doctor,medicare,health insurance,medicare for all,deductible","health,social programs"
"social cultural,governance",color,social cultural
no topic,,no topic
no topic,,no topic
social cultural,,no topic
environmental,"climate change,climate",environmental
no topic,,no topic
"education,economic","wages,workers",economic
"economic,health,safety,social programs,governance","obamacare,voting rights,voting rights act,assault,depression,assault weapons","safety,social programs"
"military,foreign policy",,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
immigration,visa,immigration
no topic,,no topic
"health,social programs","health,health care","health,social programs"
no topic,,no topic
"covid,health,social programs","health,health care,treatment,coronavirus,diagnosed","covid,health,social programs"
environmental,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,marijuana,safety
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
safety,"gun violence,mass shooting,gun",safety
foreign policy,"united nations,foreign",foreign policy
economic,corporations,no topic
no topic,,no topic
"foreign policy,economic","trade deal,china,economy",economic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
social cultural,color,social cultural
social cultural,pregnancy,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,"clean,clean water",no topic
"military,social cultural","americans serving,transgender,military","military,social cultural"
no topic,,no topic
"covid,health",coronavirus,covid
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,nra,safety
governance,,no topic
no topic,,no topic
economic,workers,no topic
"health,social programs",,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health",covid19,covid
economic,economy,economic
"education,social cultural",teachers,education
no topic,,no topic
"covid,health",,no topic
no topic,,no topic
"health,social cultural",reproductive justice,health
no topic,,no topic
"health,social programs","health,health care","health,social programs"
social cultural,,no topic
no topic,african american,no topic
no topic,,no topic
military,veterans,no topic
no topic,,no topic
governance,impeachment,governance
military,,no topic
no topic,,no topic
no topic,corporations,no topic
no topic,,no topic
immigration,"seeking asylum,asylum",immigration
governance,,no topic
military,veterans,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,corporate interests,no topic
no topic,,no topic
safety,criminal,no topic
no topic,,no topic
"covid,health","businesses,social distancing,distancing",covid
no topic,,no topic
no topic,,no topic
"covid,health",pandemic,covid
no topic,,no topic
"safety,environmental","climate,climate crisis",environmental
"economic,military,social programs","federal workers,social security,workers,veterans",social programs
military,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
social programs,,no topic
environmental,,no topic
"education,social programs",school,no topic
"health,social programs,economic",healthcare,"health,social programs"
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"safety,environmental","clean,clean water",no topic
"economic,immigration","criminal,sanctuary,aliens,borders",immigration
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
foreign policy,iran,no topic
environmental,"climate change,climate",environmental
economic,"jobs,workers",economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
"health,safety",opioids,safety
social cultural,racism,social cultural
no topic,,no topic
safety,"police violence,police",safety
economic,"businesses,business",economic
foreign policy,syria,foreign policy
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
governance,barr,no topic
governance,impeachment,governance
governance,impeachment,governance
no topic,,no topic
economic,,no topic
governance,corrupt,no topic
safety,cops,safety
no topic,,no topic
military,,no topic
social cultural,latino,social cultural
"covid,health",virus,covid
no topic,,no topic
no topic,,no topic
"health,safety,social programs,environmental","planet,health","environmental,health"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,,no topic
"social programs,economic",,no topic
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,turkey,foreign policy
no topic,,no topic
"military,safety,immigration","military,border,vets","immigration,military"
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,,no topic
"safety,social cultural","sexual,assault","safety,social cultural"
no topic,,no topic
foreign policy,"iran,regime",no topic
"covid,health,social programs","obamacare,health,reopen,health care,pandemic","covid,health,social programs"
governance,,no topic
no topic,,no topic
no topic,,no topic
environmental,"climate,climate crisis",environmental
no topic,,no topic
no topic,,no topic
"covid,health,economic","businesses,workers,virus",covid
no topic,,no topic
no topic,,no topic
"environmental,military","climate change,climate",environmental
no topic,officers,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health",coronavirus,covid
governance,"impeachment,impeach,transparency",governance
no topic,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,labor,no topic
"foreign policy,governance","foreign policy,foreign",foreign policy
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs,economic","create jobs,affordable health care,health,health care,jobs,sustainable,affordable health","economic,health,social programs"
"economic,environmental,social programs","fuel companies,fossil fuel,fossil,planet,underinsured,fuel,poorer","environmental,social programs"
governance,criminal,no topic
no topic,military,military
no topic,,no topic
economic,"wealthy,middle class,economy",economic
social cultural,racist,no topic
no topic,,no topic
economic,economic,economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,education,health,safety,social programs","education,healthcare,labor","education,health,social programs"
no topic,education,education
no topic,,no topic
no topic,,no topic
economic,"businesses,economic,workers",economic
no topic,,no topic
no topic,,no topic
"health,social programs",,no topic
governance,,no topic
"economic,social cultural",,no topic
environmental,climate,environmental
no topic,,no topic
economic,"capitalism,economic",economic
no topic,,no topic
no topic,,no topic
environmental,"climate change,climate",environmental
social programs,,no topic
"health,social programs","health,health care","health,social programs"
no topic,,no topic
"safety,social cultural",color,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","medicare,social security",social programs
environmental,"climate change,climate,planet",environmental
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
"health,social programs","medicare,medicare for all",social programs
no topic,,no topic
no topic,,no topic
social programs,social security,social programs
economic,economic,economic
social programs,"federal workers,workers",no topic
"economic,environmental","climate,climate change,combat climate,emissions,income","economic,environmental"
no topic,,no topic
no topic,,no topic
no topic,transparency,no topic
no topic,,no topic
"foreign policy,military,governance","military,impeach,impeach the president,hearings","governance,military"
no topic,,no topic
no topic,,no topic
governance,tax,no topic
no topic,,no topic
governance,criminal,no topic
social programs,social security,social programs
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,economic","health care workers,workers,health,health care","health,social programs"
"education,safety","gun violence,school,gun,high school","education,safety"
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,workers,no topic
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
"education,social programs","public college,college,loans,debt,cancel student loan debt,student","education,social programs"
governance,china,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","health,health care","health,social programs"
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,,no topic
economic,,no topic
"health,social programs","drug prices,insulin,prescription,medicare,medicare for all,prescription drug","health,social programs"
"immigration,military,safety","2nd amendment,military,border,vets","immigration,military,safety"
"military,safety,immigration","military,border,vets","immigration,military"
no topic,,no topic
no topic,,no topic
environmental,climate,environmental
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,impeachment,governance
"education,health,safety,social cultural,social programs","public colleges,healthcare,free tuition,universities,tuition,colleges,college,loans","education,health,social programs"
"health,military",,no topic
social cultural,,no topic
no topic,,no topic
"education,economic","education,teachers",education
social cultural,,no topic
"education,social programs",testing,covid
military,"military families,military,veterans",military
no topic,,no topic
environmental,,no topic
no topic,college,"education,social programs"
"governance,safety,immigration","daca,criminals",safety
economic,workers,no topic
no topic,,no topic
governance,impeachment,governance
social programs,social security,social programs
no topic,african american,no topic
no topic,,no topic
economic,labor,no topic
no topic,,no topic
"education,social programs","student debt,student,debt","education,social programs"
no topic,impeachment,governance
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
"immigration,economic",,no topic
no topic,,no topic
no topic,middle class,economic
no topic,,no topic
health,"health,mental health,health care","health,social programs"
no topic,,no topic
"education,safety",,no topic
"education,social programs","tuition-free,universities,tuition,colleges,debt,student","education,social programs"
immigration,,no topic
no topic,,no topic
economic,"workers,corporations",no topic
"health,social programs,economic","care costs,health,health care,costs,deductibles,copays","economic,health,social programs"
no topic,,no topic
economic,"consumer,economy",economic
"education,economic","school,teachers",education
no topic,,no topic
"foreign policy,social cultural",human rights,foreign policy
no topic,,no topic
"governance,social cultural","discrimination,african american,civil rights act","governance,social cultural"
no topic,,no topic
no topic,,no topic
no topic,,no topic
immigration,school,no topic
no topic,,no topic
no topic,,no topic
"economic,military,environmental","military,climate change,climate","environmental,military"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
"environmental,health,safety,social cultural,social programs,immigration","muslim,discriminating,climate,healthcare,climate change,nra,cages,lgbt,border","environmental,health,immigration,safety,social cultural,social programs"
safety,,no topic
no topic,,no topic
economic,economy,economic
"immigration,military,safety","military,border,vets,second amendment","immigration,military,safety"
"health,social programs",health,health
no topic,,no topic
social cultural,,no topic
immigration,immigrants,immigration
"safety,immigration","criminal,criminal justice,justice reform,gun violence,immigration,immigrants,gun","immigration,safety"
no topic,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs,economic","health,health care,costs,medicare,medicare for all","economic,health,social programs"
no topic,,no topic
no topic,,no topic
"education,economic","jobs,education,economy","economic,education"
social cultural,racist,no topic
governance,"impeachment,due process",governance
"health,social cultural","reproductive justice,color,pro-choice","health,social cultural"
no topic,,no topic
no topic,,no topic
safety,"gun violence,gun,gun lobby",safety
"covid,health","masks,covid-19",covid
"covid,health","health,coronavirus","covid,health"
economic,"jobs,workers",economic
no topic,,no topic
"health,social cultural,environmental",disabled,social cultural
"health,social programs","health,universal health care,universal health,health care","health,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,"impeach,economy","economic,governance"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,corrupt,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"environmental,health,social programs,economic","wages,planet,health,health care","economic,environmental,health,social programs"
social cultural,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
immigration,"visa,immigrants",immigration
economic,"workers,labor",no topic
"covid,health,economic","economy,health,coronavirus","covid,economic,health"
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
governance,right to vote,governance
no topic,,no topic
social cultural,"muslim,muslim communities,muslims",social cultural
no topic,,no topic
safety,gun,safety
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,unemployment,economic
no topic,,no topic
"covid,health",,no topic
no topic,,no topic
health,lobbyists,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"covid,health,economic",covid19,covid
no topic,,no topic
governance,"tax,corrupt",no topic
social cultural,,no topic
no topic,,no topic
social programs,,no topic
no topic,,no topic
no topic,,no topic
economic,"banks,shareholders,corporations,savings,wealth",economic
"economic,foreign policy",trade deal,no topic
economic,"wealth,tax,wealth tax",economic
governance,impeachment,governance
"social cultural,governance","courts,judges",governance
no topic,,no topic
no topic,,no topic
"governance,safety","nra,gun,gun lobby",safety
no topic,,no topic
safety,"gun violence,gun",safety
social cultural,"color,people of color",social cultural
safety,gun,safety
no topic,,no topic
"health,social programs","prescription,medicare,medicare for all","health,social programs"
social cultural,transgender,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,,no topic
"covid,health,economic",caronavirus,covid
economic,"workers,giant corporations,corporations",no topic
no topic,,no topic
foreign policy,"iran,military",military
"covid,health,social programs,economic","testing,workers,virus,pandemic",covid
no topic,,no topic
no topic,,no topic
"health,social programs,economic","economic,health,health care","economic,health,social programs"
social cultural,,no topic
"health,social programs","medicare,medicare for all",social programs
"health,social programs","workers,health",health
governance,,no topic
no topic,,no topic
"governance,economic",,no topic
no topic,,no topic
"covid,health","cdc,testing",covid
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,corporate interests,no topic
no topic,,no topic
environmental,carbon,environmental
no topic,healthcare,"health,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
"social cultural,economic","business,african american,unemployment",economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"economic,environmental","climate change,climate,planet,polluters",environmental
no topic,,no topic
no topic,,no topic
military,,no topic
"environmental,health,safety,social programs","affordable healthcare,healthcare,climate,guns","environmental,health,safety,social programs"
foreign policy,impeachment,governance
no topic,,no topic
no topic,,no topic
no topic,,no topic
"foreign policy,military","regime change,economy,troops,syrian,syrian people,regime","economic,foreign policy,military"
no topic,,no topic
health,"aids,hiv",health
no topic,,no topic
social cultural,,no topic
governance,foreign,foreign policy
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
no topic,,no topic
social cultural,,no topic
safety,"criminal,criminals,law enforcement",safety
no topic,,no topic
social programs,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,social cultural","voting rights act,color,voting rights,disenfranchised",social cultural
foreign policy,,no topic
environmental,"clean,planet,economy","economic,environmental"
immigration,daca,no topic
"education,social programs",educational,social programs
"foreign policy,social cultural","foreign policy,foreign,syria",foreign policy
social cultural,anti-semitism,social cultural
no topic,,no topic
no topic,,no topic
"health,safety","opioid,treatment",safety
no topic,,no topic
economic,"wealthy,economy",economic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,,no topic
economic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
