Gold Label,words,m_label,covid,economic,education,environmental,foreign policy,governance,health,immigration,military,safety,social cultural,social programs
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,economic,economic,0,economic,0,0,0,0,0,0,0,0,0,0
"governance,health,economic","fuel industry,fossil,campaign finance,military,fossil fuel,fuel,prison","environmental,governance,military,safety",0,0,0,"fossil fuel,fuel industry,fossil,fuel",0,correct label,0,0,military,prison,0,0
social cultural,color,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"environmental,foreign policy","billions,foreign policy,foreign,climate crisis,climate change,wars,climate","economic,environmental,foreign policy",0,billions,0,correct label,correct label,0,0,0,0,0,0,0
environmental,"climate crisis,climate,emissions",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
immigration,"immigration policy,immigration,immigrants",immigration,0,0,0,0,0,0,0,correct label,0,0,0,0
economic,"tax plan,tax,economy,wealthy",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"environmental,health,social programs,economic","health,care costs,health care costs,economic,health care,costs","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
economic,"businessman,economy",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
safety,"capita,criminal justice system,criminal,per capita,incarcerated,criminal justice","economic,safety",0,"capita,per capita",0,0,0,0,0,0,0,"criminal,incarcerated,criminal justice system,criminal justice",0,0
no topic,"supreme court,democracy",governance,0,0,0,0,0,"supreme court,democracy",0,0,0,0,0,0
"environmental,social cultural","carbon,racism","environmental,social cultural",0,0,0,correct label,0,0,0,0,0,0,correct label,0
"economic,education,social programs","billions,school,high school,tutor,student,economy,graduation","economic,education,social programs",0,correct label,correct label,0,0,0,0,0,0,0,0,correct label
"education,health,social programs","low income,school,pre school,early education,income,education","economic,education",0,"income,low income",correct label,0,0,0,0,0,0,0,0,0
"education,health,social programs","health,health crisis,school","covid,education,health",health crisis,0,correct label,0,0,0,correct label,0,0,0,0,0
"education,social programs,economic","federal,school,teachers,education,education plan","education,governance,social programs",0,0,correct label,0,0,federal,0,0,0,0,0,correct label
environmental,"climate change,climate,planet",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
"education,social programs","student,loans,teachers,education system,education","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
"education,social programs","education,education plan","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
environmental,"climate crisis,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,environmental,social cultural","economic,racial,climate,climate change","economic,environmental,social cultural",0,correct label,0,correct label,0,0,0,0,0,0,correct label,0
"education,social cultural,social programs","graduate,hbcus,hbcu","education,health,social cultural,social programs",0,0,correct label,0,0,0,hbcu,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,economic","african american,african,black,color",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
environmental,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,immigration,social programs,environmental","human rights,immigrants,climate crisis,climate,education","education,environmental,foreign policy,immigration",0,0,correct label,correct label,human rights,0,0,correct label,0,0,0,0
"social cultural,safety","criminal justice system,officers,criminal,racial,institutional racism,police,police officers,cash bail,racism,incarcerated,bail,criminal justice","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
social cultural,race,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
social cultural,"african american,african",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"economic,social cultural","economic,racial","economic,social cultural",0,correct label,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,middle class,economic,0,middle class,0,0,0,0,0,0,0,0,0,0
"economic,social cultural","black,systemic racism,racism,black america,systemic",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
safety,"criminal,criminal justice system,criminal justice",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs,social cultural","discriminatory policies,health","health,social cultural",0,0,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"wages,workers",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,planet,environmental,0,0,0,planet,0,0,0,0,0,0,0,0
"economic,foreign policy","new cold war,regime,regime change wars,regime change,wars,cold war","foreign policy,military",0,0,0,0,correct label,0,0,0,regime change,0,0,0
foreign policy,"wars,iran war",foreign policy,0,0,0,0,correct label,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,congress,governance,0,0,0,0,0,congress,0,0,0,0,0,0
"economic,social programs","productivity,middle class,universal basic income,income gap,income","economic,social programs",0,correct label,0,0,0,0,0,0,0,0,0,correct label
"economic,foreign policy,military,social programs","new cold war,productivity,middle class,regime,regime change wars,universal basic income,military,income gap,regime change,military adventurism,income,wars,race,cold war","economic,foreign policy,military,social cultural,social programs",0,correct label,0,0,correct label,0,0,0,correct label,0,race,correct label
social programs,"income,universal basic income","economic,social programs",0,income,0,0,0,0,0,0,0,0,0,universal basic income
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural,social programs","health,care costs,prescription drug,health care costs,affordable health,deductibles,premiums,latino,affordable health care,affordable,drug prices,copays,prescription,health care,costs","economic,health,social cultural,social programs",0,costs,0,0,0,0,correct label,0,0,0,correct label,correct label
"health,social programs,social cultural","health,affordable health,quality affordable,latino,affordable health care,affordable,health care","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
"health,social cultural,social programs","health,latinos,health care","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
"health,social cultural","health,health care,assault","health,safety,social programs",0,0,0,0,0,0,correct label,0,0,assault,0,health care
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","health,medicare,medicare for all,affordable health,affordable health care,affordable,health care","health,social programs",0,0,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,social cultural,environmental","democracy,lobbyists,climate,race","environmental,governance,social cultural",0,0,0,correct label,0,correct label,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,health,social programs,environmental",public schools,education,0,0,correct label,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,"racism,black,systemic,systemic racism",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,black,social cultural,0,0,0,0,0,0,0,0,0,0,black,0
economic,workers,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
"environmental,immigration,economic","fossil,immigrants,fuel,fossil fuel,climate crisis,climate,planet","environmental,immigration",0,0,0,correct label,0,0,0,correct label,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
safety,"nra,assault,gun,assault weapons,the nra",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural,social programs","health,care costs,health care costs,affordable,health care,costs,disabilities","economic,health,social cultural,social programs",0,costs,0,0,0,0,correct label,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","health,medicare,health coverage,affordable,obamacare,affordable care act,health reform,health crisis,health care","covid,health,social programs",health crisis,0,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,"federal,federal lobbyists,lobbyists,pacs",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
"health,social cultural,economic","health,economy,racist,housing","economic,health,social cultural,social programs",0,correct label,0,0,0,0,correct label,0,0,0,correct label,housing
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"immigration,safety,social cultural,environmental","bail,cash bail,climate,color","environmental,safety,social cultural",0,0,0,correct label,0,0,0,0,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"super pacs,pacs",governance,0,0,0,0,0,"pacs,super pacs",0,0,0,0,0,0
"education,social programs","low income,school,income,education,low income students","economic,education,social programs",0,"income,low income",correct label,0,0,0,0,0,0,0,0,correct label
"environmental,economic","new deal,workers,green new,green new deal,million jobs,planet,jobs","economic,environmental",0,correct label,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,education,safety","jobs,education,criminal,jails,incarceration,criminal justice,prison,justice reform","economic,education,safety",0,correct label,correct label,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,college,education,0,0,college,0,0,0,0,0,0,0,0,college
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,environmental,health,immigration,safety,social cultural,social programs","health,economy,health care","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"solar,economically,business,jobs","economic,environmental",0,"business,jobs,economically",0,solar,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural","pro choice,reproductive rights","health,social cultural",0,0,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural","abortion,abortion access,reproductive rights","health,social cultural",0,0,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"safety,social cultural","black,color,drugs,people of color","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,safety","marijuana,black,drugs","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,black,social cultural,0,0,0,0,0,0,0,0,0,0,black,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
economic,"banks,billions,homeowners","economic,social programs",0,"banks,billions",0,0,0,0,0,0,0,0,0,homeowners
governance,"supreme court,criminals,kavanaugh","governance,safety",0,0,0,0,0,"supreme court,kavanaugh",0,0,0,criminals,0,0
"social cultural,governance",blasey ford,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
social cultural,"america show,black,black women","foreign policy,social cultural",0,0,0,0,america show,0,0,0,0,0,"black,black women",0
"economic,social cultural","people of color,color",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,health,social cultural","economic,racial,reproductive justice","economic,health,social cultural",0,correct label,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,safety","suicides,overdoses,physical wellbeing,american society,gdp","economic,health,social programs",0,gdp,0,0,0,0,correct label,0,0,0,0,american society
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
environmental,"climate change,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
environmental,climate,environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
environmental,"climate crisis,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,race,social cultural,0,0,0,0,0,0,0,0,0,0,race,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,governance","supreme court,roe v wade,kavanaugh,roe,supreme court justice,right to choose,wade","governance,social cultural",0,0,0,0,0,correct label,0,0,0,0,correct label,0
governance,"right to vote,voter suppression",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
governance,"ballot box,unconstitutional gerrymandering,unconstitutional,gerrymandered districts,gerrymandered,courts,gerrymandering,fair districts",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
economic,"corruption,taxpayer,congress","economic,governance",0,taxpayer,0,0,0,"corruption,congress",0,0,0,0,0,0
"health,social programs","health,expand medicaid,affordable health,affordable health care,medicaid expansion,affordable,health care","health,social programs",0,0,0,0,0,0,correct label,0,0,0,0,correct label
no topic,big pharma,"economic,health",0,big pharma,0,0,0,0,big pharma,0,0,0,0,0
governance,right to vote,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,"coal,workers","economic,environmental",0,workers,0,coal,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,military","every veteran,addiction,ptsd","health,military,safety",0,0,0,0,0,0,correct label,0,correct label,addiction,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,military","troops,fed","economic,military",0,correct label,0,0,0,0,0,0,correct label,0,0,0
"health,safety","big pharma,addiction","economic,health,safety",0,big pharma,0,0,0,0,correct label,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
education,"school service personnel,school,teachers",education,0,0,correct label,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,safety,social cultural","health,wealth,race","economic,health,social cultural",0,wealth,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,"african,african americans,hip","social cultural,social programs",0,0,0,0,0,0,0,0,0,0,"african,african americans",hip
"environmental,immigration,safety,economic","nra,paris agreement,federal,married,paying jobs,paris,climate,jobs,gun violence,living wage,workers,business,safe zone,the nra,green building,shutdown,immigrated,immigrants,gun,college,federal workers,educational,education","covid,economic,education,environmental,foreign policy,governance,immigration,safety,social cultural,social programs",shutdown,correct label,"college,education",correct label,"safe zone,paris","shutdown,federal,federal workers",0,correct label,0,correct label,married,"college,educational"
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,education,education,0,0,education,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social programs","debt,student loan,student,student loan debt,loan debt","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,race,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,education,health,military,social programs,foreign policy","regime,debt,student,regime change wars,healthcare,regime change,senseless,student debt,wars","education,foreign policy,health,military,social programs",0,0,correct label,0,correct label,0,correct label,0,correct label,0,0,correct label
"health,military","troops,regime,regime change wars,service members,regime change,wars,base","foreign policy,military",0,0,0,0,"regime change wars,regime change,wars,regime",0,0,0,correct label,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,economic","shareholders,billions,dividends,insulin,big pharma,costs,stock","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,costs
safety,"gun,gun violence,background check",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
"health,economic","healthy eating,food deserts",health,0,0,0,0,0,0,correct label,0,0,0,0,0
"health,military","social emotional learning,wounded veterans,ptsd","education,health,military",0,0,social emotional learning,0,0,0,correct label,0,correct label,0,0,0
"education,social cultural,social programs","broken system,color,low income,income","economic,social cultural,social programs",0,"income,low income",0,0,0,0,0,0,0,0,correct label,correct label
"education,health,social programs","health,school,trauma based care","education,health",0,0,correct label,0,0,0,correct label,0,0,0,0,0
