Gold Label,words,m_label,economic,environmental,foreign policy,governance,immigration,military,safety,social cultural,social programs,covid,health,education
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,who,covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,"economy,primary,businesses,campaign",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"covid,health","disinfectants,health",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,health,0.0
economic,"workers,american workers",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"immigration,environmental","refugee,candidate,climate","environmental,immigration",0.0,Correct label,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"candidate,debate,debate stage",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"governance,immigration,social cultural,safety","protecting,criminal,immigration,discrimination,disabilities,criminal justice",safety,0.0,protecting,0.0,0.0,immigration,0.0,Correct label,"disabilities,discrimination",0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,impeachment,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,"tax,wealthy",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social cultural,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social cultural,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"social programs,economic","plan,my plan",governance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"health,social cultural,social programs","health care,health,black,color","social cultural,social programs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,Correct label,0.0,"health care,health",0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"economic,social cultural,immigration","racial,gender",social cultural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0
no topic,"congress,president",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,potus,no topic,0.0,0.0,0.0,potus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"governance,foreign policy","supreme court,impeachment,kingdom,london",foreign policy,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreign policy,china,foreign policy,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,china,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safety,"criminal justice system,president,who,criminal,criminal justice","covid,safety",0.0,0.0,0.0,0.0,0.0,0.0,"criminal justice,criminal justice system,criminal",0.0,0.0,who,0.0,0.0
economic,"congress,economy,workers",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,"voting rights,plan",governance,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,voting rights,0.0,0.0,0.0,0.0
"governance,safety","lobbying,consumer","economic,governance",consumer,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"education,social cultural,social programs,economic","president,pell,tuition-free,tuition,college,pell grants,hbcus,public college",social programs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hbcus,Correct label,0.0,0.0,"college,hbcus"
"safety,foreign policy",no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,"plan,climate change,climate",environmental,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"governance,social cultural","who,race",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
safety,"epidemic,plan,gun violence,gun","covid,safety",0.0,0.0,0.0,0.0,0.0,0.0,"gun violence,gun",0.0,0.0,epidemic,0.0,0.0
"education,environmental,economic","education,paying jobs,middle class,renewable,energy,renewable energy,jobs,economy",economic,Correct label,"energy,renewable energy,renewable",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,education
governance,"pacs,race,fuel,campaign",environmental,0.0,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social cultural,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,who,covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"covid,health,governance","president,coronavirus,defense production act,pandemic",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0
economic,"workers,giant corporations,plan,corporations,part-time,workweek",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"governance,foreign policy","ukraine,barr",foreign policy,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreign policy,kingdom,foreign policy,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"covid,health","congress,essential,testing",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0
economic,"supreme court,supreme court justice,economy,trickle down",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreign policy,"china,trade deal",foreign policy,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,china,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"root out corruption,corruption,plan",governance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social cultural,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,corrupt,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,carbon,no topic,0.0,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social cultural,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"covid,health,social programs,economic","workers,health,health insurance,health crisis,economy","economic,social programs",Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,health crisis,"health crisis,health",0.0
immigration,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,"corrupt,president",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreign policy,"president,russia,who,isis,foothold,defeat isis",covid,0.0,0.0,"isis,defeat isis,foothold,russia",0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
"economic,foreign policy,safety,environmental","foreign,criminal justice system,foreign policies,economic,criminal,yemen,criminal justice","economic,foreign policy,safety",Correct label,0.0,Correct label,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safety,shootings,safety,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0
no topic,"who,muslim","covid,social cultural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,muslim,0.0,who,0.0,0.0
no topic,who,covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,who,covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
"governance,health,social cultural","who,abortions",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abortions,0.0,who,0.0,0.0
immigration,"border,immigration system,border security,immigration,immigrants",immigration,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social cultural,"women of color,of color,color",social cultural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0
"governance,environmental","filibuster,corruption,climate change,climate","environmental,governance",0.0,Correct label,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,impeachment,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,"who,climate change,climate","covid,environmental",0.0,"climate change,climate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
safety,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"health,social programs","alzheimer,medicare,alzheimer s,medicare for all,law",social programs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
military,potus,no topic,0.0,0.0,0.0,potus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
military,"va,veterans,campaign",military,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0
governance,"campaign,potus",no topic,0.0,0.0,0.0,potus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"law enforcement,law",safety,0.0,0.0,0.0,0.0,0.0,0.0,law enforcement,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,"impeachment,president",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,"who,homelessness",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
governance,"corrupt,impeachment",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"governance,economic","president,depression,recession,impeach,market,jobs,impeach the president","economic,governance",Correct label,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,depression,0.0
environmental,"who,climate action,climate","covid,environmental",0.0,"climate action,climate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
"economic,social cultural","racial,economic,economic justice",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,racial,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governance,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,"climate crisis,climate,grassroots movement",environmental,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safety,"criminal justice system,criminal justice,criminal",safety,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,"planet,climate",environmental,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"social cultural,safety",no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"safety,social cultural","systemic,systemic racism,racism,sandra bland,black,black lives","safety,social cultural",0.0,0.0,0.0,0.0,0.0,0.0,Correct label,Correct label,0.0,0.0,0.0,0.0
social cultural,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"congress,president,of color,color",social cultural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,color,0.0,0.0,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"military,safety,economic","taxes,vets,military","economic,military",Correct label,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0
"economic,environmental","who,economy,climate","covid,economic,environmental",Correct label,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
"governance,safety","surveillance,corporations,protect americans,bill of rights","economic,governance,safety",corporations,0.0,0.0,Correct label,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0
"economic,social cultural",black,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black,0.0,0.0,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,candidate,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"senator,president",no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"education,social programs",student,social programs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,student
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,"workers,child care,who","covid,economic,social programs",workers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,child care,who,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
health,"alzheimer,science,alzheimer s",social programs,0.0,science,0.0,0.0,0.0,0.0,0.0,0.0,alzheimer,0.0,0.0,0.0
"economic,governance","workers,potus",economic,Correct label,0.0,0.0,potus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"education,economic","who,teachers",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,teachers
immigration,america safe,no topic,0.0,0.0,0.0,0.0,0.0,0.0,america safe,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"health,social programs","bankruptcy,campaign,debt",social programs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0,0.0
"education,economic","wealth,education,green,school,jobs",economic,Correct label,green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"education,school"
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"health,social programs,economic","health care,child care,costs,wages,economy,health","economic,social programs",Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,"health care,health",0.0
governance,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental,"climate crisis,climate",environmental,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"education,social programs","who,education,public schools,public education",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,"education,public schools,public education"
"social cultural,safety","plague,who,candidate,police,racial,incarceration,police violence,racial profiling,mass incarceration","covid,safety",0.0,0.0,0.0,0.0,0.0,0.0,Correct label,"racial,racial profiling",0.0,"plague,who",0.0,0.0
"covid,governance,health,foreign policy","plague,europe,china","covid,foreign policy",0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0
no topic,campaign,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"who,president",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
"environmental,economic","economy,campaign",economic,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"who,president,afghanistan",covid,0.0,0.0,afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,president,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"covid,health",covid-19,covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Correct label,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no topic,"president,new american,who,debate,debate stage",covid,0.0,0.0,0.0,0.0,new american,0.0,0.0,0.0,0.0,who,0.0,0.0
governance,"who,candidate",covid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,who,0.0,0.0
no topic,no words,no topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreign policy,"corrupt,ukraine",foreign policy,0.0,0.0,Correct label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
